name,aliases,category,source,external_id,search_text,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,brands,original_name_en
Refrigerante Guaraná Zero Açúcar Antarctica Garrafa 200ml,{},bebidas,ai_estimated,7891991016124,refrigerante guaraná zero açúcar antarctica garrafa 200ml,,,,,,,,,Guaraná Antarctica,Guaraná Antarctica zero
S.PELLEGRINO - Agua mineral natural con gas carbónico añadido,{},bebidas,ai_estimated,8002270136559,s.pellegrino - agua mineral natural con gas carbónico añadido,,,,,,,,,"Nestlé, San Pellegrino",
AGUA MINERAL NATURAL S/G MG,{},bebidas,ai_estimated,7898972721008,agua mineral natural s/g mg,,,,,,,,,Leven,
DR. OETKER Essência de Baunilha,{},bebidas,ai_estimated,7891048043035,dr. oetker essência de baunilha,,,,,,,,,DR. OETKER,
BR SPICES Sal Rosa Himalaia Fino,{},bebidas,ai_estimated,7898635644590,br spices sal rosa himalaia fino,,,,,,,,,BR SPICES,
BR SPICES Sal Parrilla para Churrasco,{},bebidas,ai_estimated,7898635643623,br spices sal parrilla para churrasco,,,,,,,,,BR SPICES,
BR SPICES Sal Parrilla Clássico,{},bebidas,ai_estimated,7898635640738,br spices sal parrilla clássico,,,,,,,,,BR SPICES,
VELEZ FOODS Sal de Parrilla para Churrasco,{},bebidas,ai_estimated,7899936400410,velez foods sal de parrilla para churrasco,,,,,,,,,VELEZ FOODS,
D'CHEFF Sal Grosso Tempero Gaúcho,{},bebidas,ai_estimated,7898416526855,d'cheff sal grosso tempero gaúcho,,,,,,,,,D'CHEFF,
COMPANHIA DAS ERVAS Tempero para Carnes,{},bebidas,ai_estimated,7897269926515,companhia das ervas tempero para carnes,,,,,,,,,COMPANHIA DAS ERVAS,
LEGURMÊ Molho Barbecue Zero Calorias,{},bebidas,ai_estimated,7898959224652,legurmê molho barbecue zero calorias,,,,,,,,,LEGURMÊ,
COMPANHIA DAS ERVAS Molho de Pimenta-de-Cheiro,{},bebidas,ai_estimated,7897269910620,companhia das ervas molho de pimenta-de-cheiro,,,,,,,,,COMPANHIA DAS ERVAS,
"Coca-Cola Zero Açúcar 1,5l",{},bebidas,ai_estimated,7894900701753,"coca-cola zero açúcar 1,5l",,,,,,,,,"Refrigerante,Coca cola,Coca-cola,Refrigerante zero","Coca-Cola Zero 1,5"
Pasta de dente,{},bebidas,ai_estimated,0509546654034,pasta de dente,,,,,,,,,,pasta de dente
365 desenho para colorir,{},bebidas,ai_estimated,9786556172613,365 desenho para colorir,,,,,,,,,,
Coca-cola Zero sem Açúcar 12 Garrafas 200 mL,{},bebidas,ai_estimated,7894900702217,coca-cola zero sem açúcar 12 garrafas 200 ml,,,,,,,,,"Coca-Cola,Spal Industria Brasileira de Bebidas S.A.",
VAL: 09/11/2025,{},bebidas,ai_estimated,5601216120053,val: 09/11/2025,,,,,,,,,Andorinha,
Água Mineral Natural Prara,{},bebidas,ai_estimated,7897123884029,água mineral natural prara,,,,,,,,,,
Água mineral natural Ster Bom,{},bebidas,ai_estimated,7898005516175,água mineral natural ster bom,,,,,,,,,Ster Bom,
9002490280901,{},bebidas,ai_estimated,9002490280901,9002490280901,,,,,,,,,,
Coca zero,{},bebidas,ai_estimated,7894900701593,coca zero,,,,,,,,,Coca cola,Coca cola Zero
